"Package";"Version";"License";"NeedsCompilation";"recDep";"depLen";"OBSpkg";"File";"OBSVersion"
"ecmwfr";"1.2.3";"AGPL-3";"no";"httr keyring memoise getPass curl rstudioapi jsonlite mime openssl R6 assertthat sodium yaml filelock rappdirs digest askpass sys";18;NA;NA;NA
"EcoDiet";"1.0.0";"GPL (>= 2)";"no";"ggplot2 rjags coda digest glue gtable isoband rlang scales tibble withr Rcpp testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";43;NA;NA;NA
"ecodist";"2.0.5";"GPL (>= 2)";"yes";"";0;"R-ecodist";"ecodist_2.0.5.tar.gz";"2.0.5"
"EcoGenetics";"1.2.1-6";"GPL (>= 2)";"no";"edgebundleR ggplot2 htmlwidgets igraph jsonlite magrittr networkD3 party pheatmap plotly raster reshape2 rgdal rkt SoDA sp doParallel foreach iterators rjson shiny digest glue gtable isoband rlang scales tibble withr htmltools yaml pkgconfig mvtnorm modeltools strucchange coin zoo sandwich RColorBrewer httr viridisLite base64enc tidyr hexbin dplyr lazyeval crosstalk purrr data.table promises Rcpp plyr stringr libcoin matrixStats multcomp R6 ellipsis generics lifecycle tidyselect vctrs curl mime openssl testthat later farver labeling munsell httpuv xtable sourcetools crayon fastmap stringi cli fansi pillar assertthat BH TH.data colorspace askpass utf8 evaluate pkgload praise sys desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";98;NA;NA;NA
"Ecohydmod";"1.0.0";"GPL-2";"no";"";0;"R-Ecohydmod";"Ecohydmod_1.0.0.tar.gz";"1.0.0"
"EcoHydRology";"0.4.12.1";"GPL-2";"no";"operators topmodel DEoptim XML";4;NA;NA;NA
"EcoIndR";"1.6";"GPL (>= 2)";"no";"rgeos sp";2;NA;NA;NA
"ECoL";"0.3.0";"MIT + file LICENSE";"no";"e1071 FNN igraph magrittr pkgconfig";5;NA;NA;NA
"ecolMod";"1.2.6";"GPL (>= 2)";"yes";"rootSolve shape diagram deSolve";4;"R-ecolMod";"ecolMod_1.2.6.tar.gz";"1.2.6"
"ecolottery";"1.0.0";"GPL (>= 2)";"no";"abc ggplot2 abc.data quantreg locfit digest glue gtable isoband rlang scales tibble withr Rcpp testthat SparseM MatrixModels farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";47;NA;NA;NA
"EconDemand";"1.0";"GNU General Public License version 2";"no";"";0;"R-EconDemand";"EconDemand_1.0.tar.gz";"1.0"
"econet";"0.1.81";"MIT + file LICENSE";"no";"bbmle igraph intergraph minpack.lm sna spatstat.utils tnet plyr dplyr numDeriv bdsmatrix mvtnorm ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs pkgconfig network Rcpp statnet.common coda cli crayon fansi pillar purrr digest assertthat utf8";35;NA;NA;NA
"EcoNetGen";"0.2.3";"GPL-3";"yes";"igraph ggplot2 digest glue gtable isoband rlang scales tibble withr magrittr pkgconfig Rcpp testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi pillar vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";42;NA;NA;NA
"economiccomplexity";"1.0";"GPL-3";"no";"igraph magrittr pkgconfig";3;NA;NA;NA
"ecoreg";"0.2.3";"GPL (>= 2)";"no";"";0;"R-ecoreg";"ecoreg_0.2.3.tar.gz";"0.2.3"
"ecoseries";"0.1.5";"GPL-3";"no";"RCurl rjson rvest xml2 magrittr readr tibble zoo bitops Rcpp hms R6 clipr crayon BH httr selectr cli ellipsis fansi lifecycle pillar pkgconfig rlang vctrs assertthat glue curl jsonlite mime openssl utf8 stringr digest askpass stringi sys";37;NA;NA;NA
"ecosim";"1.3-1";"GPL (>= 2)";"no";"deSolve stoichcalc";2;"R-ecosim";"ecosim_1.3-1.tar.gz";"1.3-1"
"EcoSimR";"0.1.0";"MIT + file LICENSE";"no";"";0;"R-EcoSimR";"EcoSimR_0.1.0.tar.gz";"0.1.0"
"ECOSolveR";"0.5.3";"GPL (>= 3)";"yes";"";0;"R-ECOSolveR";"ECOSolveR_0.5.3.tar.gz";"0.5.3"
"ecospace";"1.3.1";"CC0";"no";"FD ade4 ape geometry vegan pixmap sp Rcpp magic lpSolve linprog RcppProgress permute abind";14;NA;NA;NA
"ecospat";"3.1";"GPL";"no";"ade4 ape gbm sp adehabitatHR adehabitatMA biomod2 dismo ecodist maptools randomForest spatstat raster rms gtools PresenceAbsence doParallel foreach iterators classInt vegan poibin snowfall matrixStats maps pixmap deldir adehabitatLT filehash Rcpp reshape ggplot2 abind rasterVis pROC mda caret ENMeval earth dplyr tidyr checkmate maxnet purrr rlang e1071 gridExtra Hmisc SparseM quantreg polspline multcomp htmlTable htmltools digest snow spatstat.data spatstat.utils tensor polyclip goftest permute CircStats plyr ModelMetrics reshape2 recipes withr backports ellipsis generics glue lifecycle magrittr R6 tibble tidyselect vctrs Formula plotmo TeachingDemos gtable isoband scales latticeExtra acepack data.table viridis base64enc stringr knitr htmlwidgets rstudioapi glmnet mvtnorm TH.data sandwich MatrixModels RColorBrewer hexbin zoo viridisLite stringi shape jsonlite yaml testthat evaluate highr markdown xfun png jpeg plotrix gower ipred lubridate timeDate farver labeling munsell cli crayon fansi pillar pkgconfig assertthat prodlim mime colorspace utf8 pkgload praise desc pkgbuild rprojroot lava numDeriv SQUAREM callr prettyunits processx ps";143;NA;NA;NA
"ecotox";"1.4.2";"GPL-3 | file LICENSE";"no";"tibble cli crayon ellipsis fansi lifecycle magrittr pillar pkgconfig rlang vctrs assertthat glue utf8 digest";15;NA;NA;NA
"ecotoxicology";"1.0.1";"GPL (>= 3)";"no";"";0;"R-ecotoxicology";"ecotoxicology_1.0.1.tar.gz";"1.0.1"
"EcoTroph";"1.6";"GPL";"no";"XML";1;NA;NA;NA
"ecoval";"1.2.7";"GPL-3";"no";"utility rivernet jpeg";3;NA;NA;NA
"EcoVirtual";"1.1";"GPL (>= 2)";"no";"";0;"R-EcoVirtual";"EcoVirtual_1.1.tar.gz";"1.1"
"ecp";"3.1.2";"GPL (>= 2)";"yes";"Rcpp";1;"R-ecp";"ecp_3.1.2.tar.gz";"3.1.2"
"ecr";"2.1.0";"GPL-3";"yes";"BBmisc smoof ParamHelpers checkmate parallelMap reshape2 ggplot2 backports digest glue gtable isoband rlang scales tibble withr fastmatch plyr Rcpp stringr RColorBrewer plot3D plotly mco RJSONIO RcppArmadillo testthat misc3d httr jsonlite magrittr viridisLite base64enc htmltools htmlwidgets tidyr hexbin dplyr lazyeval crosstalk purrr data.table promises farver labeling lifecycle munsell R6 stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat generics tidyselect yaml curl mime openssl colorspace utf8 later evaluate pkgload praise BH askpass desc pkgbuild rprojroot rstudioapi sys callr prettyunits processx ps";80;NA;NA;NA
"ectotemp";"0.1.2";"MIT + file LICENSE";"no";"dplyr psych ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs mnormt tmvnsim cli crayon fansi pillar pkgconfig purrr digest assertthat utf8";23;NA;NA;NA
"ed50";"0.1.1";"GPL-3";"no";"";0;"R-ed50";"ed50_0.1.1.tar.gz";"0.1.1"
"ed50simulation";"0.1.1";"GPL-3";"no";"";0;"R-ed50simulation";"ed50simulation_0.1.1.tar.gz";"0.1.1"
"EDA";"1.3";"GPL-2";"no";"ggplot2 digest glue gtable isoband rlang scales tibble withr Rcpp testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";41;NA;NA;NA
"eda4treeR";"0.2.0";"GPL-3";"no";"dplyr dae emmeans ggplot2 lme4 magrittr pbkrtest tidyverse plyr ellipsis generics glue lifecycle R6 rlang tibble tidyselect vctrs estimability numDeriv mvtnorm xtable digest gtable isoband scales withr minqa nloptr statmod Rcpp RcppEigen broom cli crayon dbplyr forcats haven hms httr jsonlite lubridate modelr pillar purrr readr readxl reprex rstudioapi rvest stringr tidyr xml2 backports reshape2 assertthat fansi DBI blob pkgconfig curl mime openssl testthat utf8 clipr BH cellranger progress callr fs rmarkdown whisker selectr farver labeling munsell RColorBrewer viridisLite stringi processx rematch colorspace askpass prettyunits knitr yaml htmltools evaluate base64enc tinytex xfun pkgload praise sys highr markdown desc pkgbuild rprojroot ps";101;NA;NA;NA
"edbuildmapr";"0.1.1";"CC0";"no";"dplyr magrittr spdep sf stringr tidyselect tmap ellipsis generics glue lifecycle R6 rlang tibble vctrs classInt DBI Rcpp units sp spData deldir LearnBayes coda expm gmodels stringi purrr tmaptools stars RColorBrewer viridisLite htmltools htmlwidgets leaflet leafsync leafem e1071 gdata digest jsonlite yaml mapdeck raster base64enc scales png crosstalk markdown viridis leaflet.providers abind lwgeom cli crayon fansi pillar pkgconfig dichromat XML assertthat lazyeval gtools colourvalues googlePolylines geojsonsf jsonify shiny sfheaders BH rapidjsonr spatialwidget xfun mime utf8 farver labeling munsell ggplot2 gridExtra curl gtable isoband withr colorspace httpuv xtable sourcetools later promises fastmap testthat evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";104;NA;NA;NA
"edbuildr";"0.1.1";"CC0";"no";"dplyr magrittr openxlsx scales stringr tidyselect ellipsis generics glue lifecycle R6 rlang tibble vctrs Rcpp zip stringi farver labeling munsell RColorBrewer viridisLite purrr colorspace cli crayon fansi pillar pkgconfig digest assertthat utf8";32;NA;NA;NA
"edcc";"1.0-0";"GPL";"no";"spc";1;"R-edcc";"edcc_1.0-0.tar.gz";"1.0-0"
"edci";"1.1-3";"GPL-2";"yes";"";0;"R-edci";"edci_1.1-3.tar.gz";"1.1-3"
"eddi";"0.0.1";"GPL-3";"no";"raster rgdal sp Rcpp";4;NA;NA;NA
"eddington";"2.1.1";"GPL (>= 2)";"yes";"Rcpp";1;"R-eddington";"eddington_2.1.1.tar.gz";"2.1.1"
"edeaR";"0.8.4";"MIT + file LICENSE";"no";"bupaR dplyr data.table ggplot2 ggthemes glue tibble shiny miniUI tidyr shinyTime lubridate purrr stringr rlang zoo hms magrittr forcats eventdataR ellipsis generics lifecycle R6 tidyselect vctrs digest gtable isoband scales withr pkgconfig Rcpp htmltools httpuv mime jsonlite xtable sourcetools later promises crayon fastmap stringi cli fansi pillar assertthat BH testthat utf8 farver labeling munsell RColorBrewer viridisLite colorspace evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";69;NA;NA;NA
"edeR";"1.0.0";"GPL-2";"no";"rJava rjson rJython";3;NA;NA;NA
"edf";"1.0.0";"MIT + file LICENSE";"no";"";0;"R-edf";"edf_1.0.0.tar.gz";"1.0.0"
"EDFIR";"1.0";"GPL (>= 2)";"no";"lpSolve geometry vertexenum magic Rcpp linprog RcppProgress numbers abind";9;NA;NA;NA
"edfReader";"1.2.1";"GPL-3";"no";"";0;"R-edfReader";"edfReader_1.2.1.tar.gz";"1.2.1"
"edfun";"0.2.0";"GPL-2 | GPL-3";"no";"";0;"R-edfun";"edfun_0.2.0.tar.gz";"0.2.0"
"edgar";"2.0.3";"GPL-2";"no";"R.utils tm XML stringr stringi qdapRegex R.oo R.methodsS3 glue magrittr NLP Rcpp slam xml2 BH";15;NA;NA;NA
"edgebundleR";"0.1.4";"GPL (>= 3)";"no";"htmlwidgets rjson igraph shiny htmltools jsonlite yaml magrittr pkgconfig httpuv mime xtable digest R6 sourcetools later promises crayon rlang fastmap Rcpp BH";22;NA;NA;NA
"edgeCorr";"1.0";"GPL-2";"no";"";0;"R-edgeCorr";"edgeCorr_1.0.tar.gz";"1.0"
"edgedata";"0.1.0";"GPL-3";"no";"";0;"R-edgedata";"edgedata_0.1.0.tar.gz";"0.1.0"
"edgeRun";"1.0.9";"MIT + file LICENSE";"no";"edgeR data.table";2;NA;NA;NA
"edina";"0.1.1";"GPL (>= 2)";"yes";"Rcpp ggplot2 jjb reshape2 RcppArmadillo rgen digest glue gtable isoband rlang scales tibble withr plyr stringr testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite magrittr stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";48;NA;NA;NA
"EDISON";"1.1.1";"GPL-2";"no";"corpcor";1;"R-EDISON";"EDISON_1.1.1.tar.gz";"1.1.1"
"editData";"0.1.2";"GPL-3";"no";"shiny miniUI rstudioapi DT tibble htmltools htmlwidgets jsonlite magrittr crosstalk promises httpuv mime xtable digest R6 sourcetools later crayon rlang fastmap cli ellipsis fansi lifecycle pillar pkgconfig vctrs assertthat glue lazyeval Rcpp yaml BH utf8";35;NA;NA;NA
"EditImputeCont";"1.1.6";"GPL (>= 3)";"yes";"Rcpp editrules igraph lpSolveAPI magrittr pkgconfig";6;NA;NA;NA
"editrules";"2.9.3";"GPL-3";"no";"igraph lpSolveAPI magrittr pkgconfig";4;NA;NA;NA
"eDMA";"1.5-3";"GPL (>= 2)";"yes";"zoo xts Rcpp RcppArmadillo";4;"R-eDMA";"eDMA_1.5-3.tar.gz";"1.5-3"
"EDMeasure";"1.2.0";"GPL (>= 2)";"yes";"energy dHSIC rBayesianOptimization Rcpp data.table magrittr foreach GPfit iterators lhs";10;NA;NA;NA
"EDOIF";"0.1.1";"BSD_3_clause + file LICENSE";"no";"distr igraph ellipsis simpleboot ggplot2 startupmsg sfsmisc rlang digest glue gtable isoband scales tibble withr magrittr pkgconfig Rcpp testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon fansi pillar vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";46;NA;NA;NA
"edrGraphicalTools";"2.2";"GPL (>= 2.0)";"yes";"rgl mvtnorm lasso2 htmlwidgets htmltools knitr jsonlite shiny magrittr crosstalk manipulateWidget lazyeval R6 digest Rcpp rlang yaml evaluate highr markdown stringr xfun miniUI base64enc webshot httpuv mime xtable sourcetools later promises crayon fastmap BH glue stringi callr processx ps";39;NA;NA;NA
"edstan";"1.0.6";"BSD_3_clause + file LICENSE";"no";"rstan ggplot2 digest glue gtable isoband rlang scales tibble withr StanHeaders inline gridExtra Rcpp loo pkgbuild RcppEigen BH testthat checkmate matrixStats callr cli crayon desc prettyunits R6 rprojroot farver labeling lifecycle munsell RColorBrewer viridisLite RcppParallel ellipsis fansi magrittr pillar pkgconfig vctrs processx backports assertthat colorspace utf8 evaluate pkgload praise rstudioapi ps";51;NA;NA;NA
"EdSurvey";"2.5.0";"GPL-2";"no";"car lfactors data.table Formula glm2 haven LaF lme4 NAEPprimer quantreg readxl tibble wCorr WeMix xtable carData abind pbkrtest maptools rio forcats hms Rcpp readr rlang tidyselect vctrs minqa nloptr statmod RcppEigen SparseM MatrixModels cellranger progress cli crayon ellipsis fansi lifecycle magrittr pillar pkgconfig mnormt RcppArmadillo numDeriv Rmpfr NPflow rematch assertthat glue sp tmvnsim truncnorm ellipse fastcluster ggplot2 pheatmap reshape2 utf8 prettyunits R6 clipr BH curl openxlsx gmp purrr digest gtable isoband scales withr zip stringi RColorBrewer plyr stringr testthat farver labeling munsell viridisLite colorspace evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr backports processx ps";95;NA;NA;NA
"educineq";"0.1.0";"GPL (>= 2)";"no";"ineq flexsurv mstate muhaz mvtnorm deSolve quadprog Rcpp tidyr tibble RColorBrewer cli crayon ellipsis fansi lifecycle magrittr pillar pkgconfig rlang vctrs dplyr glue purrr stringi tidyselect assertthat generics R6 utf8 digest";31;NA;NA;NA
"edwards97";"0.1.0";"GPL-3";"no";"rlang tibble broom cli withr glue backports dplyr generics purrr reshape2 stringr tidyr assertthat crayon fansi ellipsis lifecycle magrittr pillar pkgconfig vctrs R6 tidyselect utf8 plyr Rcpp stringi digest";29;NA;NA;NA
"eechidna";"1.4.0";"GPL (>= 2)";"no";"dplyr shiny ggplot2 ggthemes magrittr rgeos plotly sp tidyr purrr colourpicker rgdal stringi tibble tidyselect htmltools htmlwidgets jsonlite miniUI shinyjs ellipsis generics glue lifecycle R6 rlang vctrs digest gtable isoband scales withr stringr httr viridisLite base64enc hexbin RColorBrewer lazyeval crosstalk data.table promises httpuv mime xtable sourcetools later crayon fastmap cli fansi pillar pkgconfig Rcpp assertthat yaml BH curl openssl testthat utf8 farver labeling munsell colorspace askpass evaluate pkgload praise sys desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";79;NA;NA;NA
"eegkit";"1.0-4";"GPL (>= 2)";"no";"eegkitdata bigsplines ica rgl signal quadprog htmlwidgets htmltools knitr jsonlite shiny magrittr crosstalk manipulateWidget lazyeval R6 digest Rcpp rlang yaml evaluate highr markdown stringr xfun miniUI base64enc webshot httpuv mime xtable sourcetools later promises crayon fastmap BH glue stringi callr processx ps";42;NA;NA;NA
"eegkitdata";"1.0";"GPL (>= 2)";"no";"";0;"R-eegkitdata";"eegkitdata_1.0.tar.gz";"1.0"
"eel";"1.1";"GPL (>= 2)";"no";"emplik rootSolve quantreg SparseM MatrixModels";5;NA;NA;NA
"EEM";"1.1.1";"GPL-3";"no";"reshape2 colorRamps R.utils sp ggplot2 digest glue gtable isoband rlang scales tibble withr R.oo R.methodsS3 plyr Rcpp stringr testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite magrittr stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";50;NA;NA;NA
"eemR";"1.0.1";"GPL (>= 2)";"no";"stringr dplyr R.matlab pracma rlist viridis purrr assertthat ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs R.methodsS3 R.oo R.utils yaml jsonlite XML data.table stringi viridisLite ggplot2 gridExtra digest gtable isoband scales withr cli crayon fansi pillar pkgconfig Rcpp testthat utf8 farver labeling munsell RColorBrewer colorspace evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";59;NA;NA;NA
"eeptools";"1.2.4";"GPL-3";"no";"ggplot2 arm data.table vcd maptools lme4 abind coda digest glue gtable isoband rlang scales tibble withr sp colorspace lmtest Rcpp testthat minqa nloptr statmod RcppEigen zoo farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";55;NA;NA;NA
"eesim";"0.1.0";"GPL (>= 2)";"no";"dplyr lubridate purrr viridis ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs Rcpp viridisLite ggplot2 gridExtra digest gtable isoband scales withr cli crayon fansi pillar pkgconfig assertthat testthat utf8 farver labeling munsell RColorBrewer colorspace evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";48;NA;NA;NA
"EFA.MRFA";"1.0.9";"GPL-3";"no";"optimbase psych scales PCovR ggplot2 reshape2 digest glue gtable isoband rlang tibble withr GPArotation ThreeWay mnormt plyr Rcpp stringr farver labeling lifecycle munsell R6 RColorBrewer viridisLite testthat tmvnsim colorspace magrittr stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";52;NA;NA;NA
"EFAutilities";"2.0.0";"GPL-2";"no";"GPArotation mvtnorm plyr Rcpp";4;"R-EFAutilities";"EFAutilities_2.0.0.tar.gz";"2.0.0"
"EFDR";"1.0";"GPL (>= 2)";"no";"copula foreach doParallel waveslim gstat tidyr dplyr sp colorspace gsl ADGofTest stabledist mvtnorm pcaPP pspline numDeriv iterators ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs zoo spacetime FNN purrr Rcpp stringi xts intervals cli crayon fansi pillar pkgconfig digest assertthat utf8";43;NA;NA;NA
"effectFusion";"1.1.2";"GPL-3";"yes";"mcclust bayesm GreedyEPL gridExtra ggplot2 Rcpp RcppArmadillo digest glue gtable isoband rlang scales tibble withr lpSolve testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";47;NA;NA;NA
"EffectLiteR";"0.4-4";"GPL (>= 2)";"no";"lavaan shiny ggplot2 survey lavaan.survey car carData abind pbkrtest quantreg maptools rio lme4 digest glue gtable isoband rlang scales tibble withr mnormt pbivnorm numDeriv httpuv mime jsonlite xtable htmltools R6 sourcetools later promises crayon fastmap minqa mitools Rcpp BH testthat nloptr statmod RcppEigen sp DBI tmvnsim magrittr SparseM MatrixModels haven curl data.table readxl openxlsx farver labeling lifecycle munsell RColorBrewer viridisLite cli ellipsis fansi pillar pkgconfig vctrs assertthat forcats hms readr tidyselect colorspace zip stringi utf8 cellranger progress evaluate pkgload praise rematch desc pkgbuild rprojroot rstudioapi prettyunits clipr purrr callr backports processx ps";92;NA;NA;NA
"effectR";"1.0.2";"GPL-2 | GPL-3";"no";"seqinr ggplot2 shiny reshape2 rmarkdown viridis digest glue gtable isoband rlang scales tibble withr plyr Rcpp stringr knitr yaml htmltools evaluate base64enc jsonlite mime tinytex xfun ade4 segmented httpuv xtable R6 sourcetools later promises crayon fastmap viridisLite gridExtra pixmap sp BH testthat highr markdown magrittr farver labeling lifecycle munsell RColorBrewer stringi cli ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";71;NA;NA;NA
"effects";"4.1-4";"GPL (>= 2)";"no";"carData lme4 colorspace survey estimability minqa nloptr statmod Rcpp RcppEigen numDeriv mitools DBI";13;NA;NA;NA
"effectsize";"0.3.1";"GPL-3";"no";"insight bayestestR parameters";3;NA;NA;NA
"effectsizescr";"0.1.0";"MIT + file LICENSE";"no";"Kendall";1;"R-effectsizescr";"effectsizescr_0.1.0.tar.gz";"0.1.0"
"EffectsRelBaseline";"0.5";"GPL (>= 3)";"no";"";0;"R-EffectsRelBaseline";"EffectsRelBaseline_0.5.tar.gz";"0.5"
"EffectStars";"1.9-1";"GPL-2";"no";"VGAM";1;"R-EffectStars";"EffectStars_1.9-1.tar.gz";"1.9-1"
"EffectStars2";"0.1-3";"GPL (>= 2)";"no";"VGAM miscTools digest";3;"R-EffectStars2";"EffectStars2_0.1-3.tar.gz";"0.1-3"
"EffectTreat";"1.0";"GPL (>= 2)";"no";"";0;"R-EffectTreat";"EffectTreat_1.0.tar.gz";"1.0"
"EfficientMaxEigenpair";"0.1.4";"MIT + file LICENSE";"no";"";0;"R-EfficientMaxEigenpair";"EfficientMaxEigenpair_0.1.4.tar.gz";"0.1.4"
"efflog";"1.0";"GPL (>= 2)";"no";"";0;"R-efflog";"efflog_1.0.tar.gz";"1.0"
"effsize";"0.8.0";"GPL-2";"no";"";0;"R-effsize";"effsize_0.8.0.tar.gz";"0.8.0"
"efreadr";"0.2.2";"GPL-3";"no";"readr dplyr ensurer magrittr ellipsis generics glue lifecycle R6 rlang tibble tidyselect vctrs Rcpp hms clipr crayon BH pkgconfig cli fansi pillar purrr digest assertthat utf8";26;NA;NA;NA
"EFS";"1.0.3";"GPL (>= 2)";"no";"party pROC randomForest ROCR mvtnorm modeltools strucchange coin zoo sandwich plyr Rcpp gplots libcoin matrixStats multcomp gtools gdata caTools bitops TH.data";21;NA;NA;NA
"efts";"0.9-0";"GPL-2";"no";"stringr lubridate magrittr xts plyr ncdf4 udunits2 generics Rcpp glue stringi zoo";12;NA;NA;NA
"ega";"2.0.0";"MIT + file LICENSE";"no";"ggplot2 digest glue gtable isoband rlang scales tibble withr Rcpp testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";41;NA;NA;NA
"EGAnet";"0.9.3";"GPL (>= 3.0)";"no";"qgraph semPlot igraph lavaan NetworkToolbox glasso dplyr plotly ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs pkgconfig mnormt pbivnorm numDeriv psych corrplot fdrtool R.matlab ppcor foreach doParallel pwr IsingFit pbapply ggplot2 scales httr jsonlite digest viridisLite base64enc htmltools htmlwidgets tidyr hexbin RColorBrewer lazyeval crosstalk purrr data.table promises Rcpp plyr Hmisc jpeg png colorspace corpcor reshape2 huge d3Network gtools BDgraph abind tidygraph ggraph sem XML lisrelToR rockchalk OpenMx regsem rjson whisker iterators gtable isoband withr ggforce ggrepel viridis graphlayouts Formula latticeExtra acepack gridExtra htmlTable yaml curl mime openssl RcppEigen glmnet tmvnsim StanHeaders BH rpf later R.methodsS3 R.oo R.utils Rsolnp RcppArmadillo stringr lme4 carData kutils farver labeling munsell matrixcalc mi cli crayon fansi pillar stringi assertthat tweenr polyclip shape knitr checkmate rstudioapi testthat xtable openxlsx RUnit minqa nloptr statmod arm askpass utf8 mvtnorm truncnorm RcppParallel coda sys backports evaluate highr markdown xfun zip pkgload praise desc pkgbuild rprojroot callr prettyunits processx ps";152;NA;NA;NA
"egcm";"1.0.12";"GPL-2 | GPL-3";"no";"zoo xts ggplot2 tseries urca pracma quantmod digest glue gtable isoband rlang scales tibble withr TTR curl quadprog Rcpp testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";50;NA;NA;NA
"egg";"0.4.5";"GPL-3";"no";"gridExtra ggplot2 gtable digest glue isoband rlang scales tibble withr Rcpp testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";42;NA;NA;NA
"eggCounts";"2.3";"GPL (>= 3)";"yes";"Rcpp rstan coda numbers rootSolve BH StanHeaders RcppEigen ggplot2 inline gridExtra loo pkgbuild RcppParallel digest glue gtable isoband rlang scales tibble withr checkmate matrixStats callr cli crayon desc prettyunits R6 rprojroot processx backports assertthat fansi testthat farver labeling lifecycle munsell RColorBrewer viridisLite ellipsis magrittr pillar pkgconfig vctrs colorspace utf8 ps evaluate pkgload praise rstudioapi";54;NA;NA;NA
"egor";"0.20.03";"AGPL-3";"no";"dplyr tibble tidygraph igraph network shiny survey tidyr purrr rlang ellipsis generics glue lifecycle magrittr R6 tidyselect vctrs pkgconfig httpuv mime jsonlite xtable digest htmltools sourcetools later promises crayon fastmap minqa numDeriv mitools cli fansi pillar Rcpp stringi assertthat BH DBI utf8";42;NA;NA;NA
"EGRET";"3.0.2";"CC0";"no";"dataRetrieval fields truncnorm foreach httr curl lubridate xml2 readr jsonlite spam maps iterators mime openssl R6 generics Rcpp tibble hms clipr crayon BH dotCall64 pkgconfig rlang vctrs askpass cli ellipsis fansi lifecycle magrittr pillar sys assertthat glue utf8 digest";39;NA;NA;NA
